dim,needle_size,type,exit_code,needle_score,needle_score_vs_q8_pct,needle_score_en,needle_score_zh
D64,32K,f16,0,84.8851,84.89,84.8851,None
D64,32K,q8_0,0,100.0,100.0,100.0,None
D64,32K,q4_0,0,68.8035,68.8,68.8035,None
D64,32K,pq2,1,None,None,None,None
D64,32K,tq2,1,None,None,None,None
D64,32K,pq3,1,None,None,None,None
D64,32K,tq3,1,None,None,None,None
D64,32K,pq4,0,36.2823,36.28,36.2823,None
D64,32K,tq4,1,None,None,None,None
D64,128K,f16,0,69.1818,129.26,69.1818,None
D64,128K,q8_0,0,53.5206,100.0,53.5206,None
D64,128K,q4_0,0,22.0171,41.14,22.0171,None
D64,128K,pq2,1,None,None,None,None
D64,128K,tq2,1,None,None,None,None
D64,128K,pq3,1,None,None,None,None
D64,128K,tq3,0,4.3849,8.19,4.3849,None
D64,128K,pq4,0,4.716,8.81,4.716,None
D64,128K,tq4,1,None,None,None,None
D128,32K,f16,0,100.0,100.0,100.0,None
D128,32K,q8_0,0,100.0,100.0,100.0,None
D128,32K,q4_0,0,100.0,100.0,100.0,None
D128,32K,pq2,0,1.0443,1.04,1.0443,None
D128,32K,tq2,0,17.0835,17.08,17.0835,None
D128,32K,pq3,0,1.4583,1.46,1.4583,None
D128,32K,tq3,0,100.0,100.0,100.0,None
D128,32K,pq4,0,84.9425,84.94,84.9425,None
D128,32K,tq4,0,100.0,100.0,100.0,None
D128,128K,f16,0,100.0,100.0,100.0,None
D128,128K,q8_0,0,100.0,100.0,100.0,None
D128,128K,q4_0,0,100.0,100.0,100.0,None
D128,128K,pq2,0,1.0813,1.08,1.0813,None
D128,128K,tq2,0,0.4914,0.49,0.4914,None
D128,128K,pq3,0,0.0736,0.07,0.0736,None
D128,128K,tq3,0,66.9942,66.99,66.9942,None
D128,128K,pq4,0,50.2336,50.23,50.2336,None
D128,128K,tq4,0,100.0,100.0,100.0,None
D256,32K,f16,0,100.0,100.0,100.0,None
D256,32K,q8_0,0,100.0,100.0,100.0,None
D256,32K,q4_0,0,100.0,100.0,100.0,None
D256,32K,pq2,0,100.0,100.0,100.0,None
D256,32K,tq2,0,100.0,100.0,100.0,None
D256,32K,pq3,0,100.0,100.0,100.0,None
D256,32K,tq3,0,100.0,100.0,100.0,None
D256,32K,pq4,0,100.0,100.0,100.0,None
D256,32K,tq4,0,100.0,100.0,100.0,None
D256,128K,f16,0,100.0,100.0,100.0,None
D256,128K,q8_0,0,100.0,100.0,100.0,None
D256,128K,q4_0,0,100.0,100.0,100.0,None
D256,128K,pq2,0,100.0,100.0,100.0,None
D256,128K,tq2,0,100.0,100.0,100.0,None
D256,128K,pq3,0,100.0,100.0,100.0,None
D256,128K,tq3,0,100.0,100.0,100.0,None
D256,128K,pq4,0,100.0,100.0,100.0,None
D256,128K,tq4,0,100.0,100.0,100.0,None
