dim,needle_size,type,exit_code,needle_score,needle_score_vs_q8_pct,needle_score_en,needle_score_zh
D64,32K,f16,0,84.7024,84.7,84.7024,None
D64,32K,q8_0,0,100.0,100.0,100.0,None
D64,32K,q4_0,0,54.4535,54.45,54.4535,None
D64,32K,pq2,0,0.6181,0.62,0.6181,None
D64,32K,tq2,0,2.3629,2.36,2.3629,None
D64,32K,pq3,0,3.2563,3.26,3.2563,None
D64,32K,tq3,0,37.9862,37.99,37.9862,None
D64,32K,pq4,0,36.266,36.27,36.266,None
D64,32K,tq4,0,83.6985,83.7,83.6985,None
D64,128K,f16,0,69.2322,81.78,69.2322,None
D64,128K,q8_0,0,84.6561,100.0,84.6561,None
D64,128K,q4_0,0,23.5283,27.79,23.5283,None
D64,128K,pq2,0,0.6216,0.73,0.6216,None
D64,128K,tq2,0,0.8988,1.06,0.8988,None
D64,128K,pq3,0,3.4032,4.02,3.4032,None
D64,128K,tq3,0,6.3465,7.5,6.3465,None
D64,128K,pq4,0,19.9506,23.57,19.9506,None
D64,128K,tq4,0,3.6753,4.34,3.6753,None
D128,32K,f16,0,100.0,100.0,100.0,None
D128,32K,q8_0,0,100.0,100.0,100.0,None
D128,32K,q4_0,0,100.0,100.0,100.0,None
D128,32K,pq2,0,1.0443,1.04,1.0443,None
D128,32K,tq2,0,17.0835,17.08,17.0835,None
D128,32K,pq3,0,1.4583,1.46,1.4583,None
D128,32K,tq3,0,100.0,100.0,100.0,None
D128,32K,pq4,0,84.9425,84.94,84.9425,None
D128,32K,tq4,0,100.0,100.0,100.0,None
D128,128K,f16,0,100.0,100.0,100.0,None
D128,128K,q8_0,0,100.0,100.0,100.0,None
D128,128K,q4_0,0,100.0,100.0,100.0,None
D128,128K,pq2,0,1.0813,1.08,1.0813,None
D128,128K,tq2,0,0.4914,0.49,0.4914,None
D128,128K,pq3,0,0.0736,0.07,0.0736,None
D128,128K,tq3,0,66.9942,66.99,66.9942,None
D128,128K,pq4,0,50.2336,50.23,50.2336,None
D128,128K,tq4,0,100.0,100.0,100.0,None
D256,32K,f16,0,100.0,100.0,100.0,None
D256,32K,q8_0,0,100.0,100.0,100.0,None
D256,32K,q4_0,0,100.0,100.0,100.0,None
D256,32K,pq2,0,100.0,100.0,100.0,None
D256,32K,tq2,0,100.0,100.0,100.0,None
D256,32K,pq3,0,100.0,100.0,100.0,None
D256,32K,tq3,0,100.0,100.0,100.0,None
D256,32K,pq4,0,100.0,100.0,100.0,None
D256,32K,tq4,0,100.0,100.0,100.0,None
D256,128K,f16,0,100.0,100.0,100.0,None
D256,128K,q8_0,0,100.0,100.0,100.0,None
D256,128K,q4_0,0,100.0,100.0,100.0,None
D256,128K,pq2,0,100.0,100.0,100.0,None
D256,128K,tq2,0,100.0,100.0,100.0,None
D256,128K,pq3,0,100.0,100.0,100.0,None
D256,128K,tq3,0,100.0,100.0,100.0,None
D256,128K,pq4,0,100.0,100.0,100.0,None
D256,128K,tq4,0,100.0,100.0,100.0,None
